loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax
13	141	1	3	-5305.2	0.754983443527111	-5305.95498344353	-5304.44501655647
13	141	2	3	-5357.06666666667	62.4211769620964	-5419.48784362876	-5294.64548970457
13	141	3	3	-5488.53333333333	68.8683042722363	-5557.40163760557	-5419.6650290611
13	141	4	3	-5434.2	104.079248652169	-5538.27924865217	-5330.12075134783
13	141	5	3	-5320.3	76.9225584597916	-5397.22255845979	-5243.37744154021
13	141	6	3	-5382.13333333333	26.4532291664616	-5408.5865624998	-5355.68010416687
13	141	7	3	-5416.8	71.5478161791121	-5488.34781617911	-5345.25218382089
13	141	8	3	-5367.8	41.8003588501342	-5409.60035885013	-5325.99964114987
13	141	9	3	-5678.3	245.34261757795	-5923.64261757795	-5432.95738242205
