ID,outDate,inDate,type
354,25/08/2017,01/09/2017,Orange
355,27/08/2017,03/09/2017,Beer
357,25/08/2017,01/09/2017,Beer
358,28/08/2017,04/09/2017,Beer
361,26/08/2017,02/09/2017,Beer
362,25/08/2017,01/09/2017,Beer
364,27/08/2017,03/09/2017,Beer
365,01/09/2017,08/09/2017,Orange
366,01/09/2017,07/09/2017,Beer
367,26/08/2017,02/09/2017,Beer
369,25/08/2017,01/09/2017,Beer
372,27/08/2017,03/09/2017,Beer
374,25/08/2017,01/09/2017,Orange
375,25/08/2017,01/09/2017,Beer
376,25/08/2017,01/09/2017,Orange
378,25/08/2017,01/09/2017,Beer
381,25/08/2017,01/09/2017,Beer
383,01/09/2017,08/09/2017,Beer
384,25/08/2017,01/09/2017,Beer
385,30/08/2017,06/09/2017,Beer
389,27/08/2017,03/09/2017,Beer
394,30/08/2017,05/09/2017,Beer
395,25/08/2017,01/09/2017,Beer
396,27/08/2017,03/09/2017,Beer
398,01/09/2017,08/09/2017,Beer
399,26/08/2017,02/09/2017,Orange
402,27/08/2017,03/09/2017,Beer
404,25/08/2017,01/09/2017,Beer
406,29/08/2017,05/09/2017,Beer
407,25/08/2017,01/09/2017,Beer
411,27/08/2017,01/09/2017,Beer
413,29/08/2017,05/09/2017,Beer
415,01/09/2017,08/09/2017,Beer
418,26/08/2017,02/09/2017,Orange
421,25/08/2017,01/09/2017,Beer
422,26/08/2017,01/09/2017,Beer
423,25/08/2017,01/09/2017,Orange
427,27/08/2017,03/09/2017,Orange
433,25/08/2017,01/09/2017,Beer
434,28/08/2017,04/09/2017,Beer
436,01/09/2017,08/09/2017,Beer
438,27/08/2017,03/09/2017,Beer
442,27/08/2017,03/09/2017,Beer
445,25/08/2017,01/09/2017,Beer
446,25/08/2017,01/09/2017,Beer
447,28/08/2017,03/09/2017,Beer
449,28/08/2017,04/09/2017,Beer
450,27/08/2017,03/09/2017,Beer
452,26/08/2017,04/09/2017,Beer
453,26/08/2017,04/09/2017,Beer
454,01/09/2017,08/09/2017,Orange
455,01/09/2017,08/09/2017,Orange
459,26/08/2017,02/09/2017,Orange
460,28/08/2017,04/09/2017,Beer
467,25/08/2017,02/09/2017,Beer
468,25/08/2017,01/09/2017,Beer
474,27/08/2017,03/09/2017,Beer
478,01/09/2017,08/09/2017,Beer
480,26/08/2017,02/09/2017,Orange
481,30/08/2017,05/09/2017,Beer
487,31/08/2017,07/09/2017,Beer
493,25/08/2017,01/09/2017,Beer
494,31/08/2017,08/09/2017,Orange
495,01/09/2017,08/09/2017,Beer
499,28/08/2017,03/09/2017,Beer
500,26/08/2017,01/09/2017,Beer
501,01/09/2017,08/09/2017,Beer
504,25/08/2017,01/09/2017,Orange
507,30/08/2017,06/09/2017,Orange
509,25/08/2017,01/09/2017,Orange
511,26/08/2017,02/09/2017,Beer
517,25/08/2017,01/09/2017,Beer
518,01/09/2017,08/09/2017,Beer
519,31/08/2017,07/09/2017,Beer
524,27/08/2017,03/09/2017,Beer
531,25/08/2017,02/09/2017,Beer
533,25/08/2017,01/09/2017,Orange
534,01/09/2017,08/09/2017,Beer
535,28/08/2017,04/09/2017,Beer
536,25/08/2017,01/09/2017,Beer
538,25/08/2017,01/09/2017,Beer
543,01/09/2017,08/09/2017,Beer
544,31/08/2017,07/09/2017,Orange
545,28/08/2017,04/09/2017,Beer
548,25/08/2017,01/09/2017,Beer
551,28/08/2017,04/09/2017,Beer
553,28/08/2017,05/09/2017,Beer
555,25/08/2017,01/09/2017,Beer
556,28/08/2017,04/09/2017,Beer
557,27/08/2017,03/09/2017,Orange
558,25/08/2017,01/09/2017,Beer
559,26/08/2017,01/09/2017,Beer
561,01/09/2017,08/09/2017,Beer
566,01/09/2017,08/09/2017,Beer
568,26/08/2017,01/09/2017,Beer
570,25/08/2017,01/09/2017,Beer
572,27/08/2017,03/09/2017,Beer
573,28/08/2017,04/09/2017,Beer
575,,,
578,25/08/2017,01/09/2017,Beer
579,28/08/2017,04/09/2017,Beer
581,25/08/2017,01/09/2017,Orange
587,01/09/2017,08/09/2017,Beer
588,01/09/2017,08/09/2017,Beer
590,30/08/2017,06/09/2017,Orange
591,26/08/2017,02/09/2017,Orange
592,25/08/2017,01/09/2017,Beer
593,25/08/2017,01/09/2017,Beer
595,01/09/2017,08/09/2017,Orange
599,26/08/2017,02/09/2017,Beer
600,01/09/2017,08/09/2017,Beer
602,26/08/2017,02/09/2017,Beer
605,26/08/2017,02/09/2017,Beer
606,01/09/2017,08/09/2017,Beer
609,25/08/2017,01/09/2017,Beer
613,25/08/2017,01/09/2017,Beer
615,25/08/2017,01/09/2017,Beer
616,27/08/2017,07/09/2017,Beer
617,25/08/2017,01/09/2017,Orange
618,01/09/2017,08/09/2017,Orange
621,27/08/2017,03/09/2017,Beer
622,29/08/2017,05/09/2017,Beer
624,31/08/2017,07/09/2017,Orange
625,27/08/2017,03/09/2017,Beer
628,26/08/2017,02/09/2017,Beer
629,25/08/2017,01/09/2017,Beer
631,27/08/2017,03/09/2017,Beer
636,30/08/2017,06/09/2017,Beer
637,29/08/2017,05/09/2017,Beer
638,25/08/2017,01/09/2017,Beer
639,01/09/2017,08/09/2017,Orange
641,31/08/2017,07/09/2017,Beer
642,27/08/2017,03/09/2017,Beer
