"Locus","p-value","adjusted p-value (Bonferroni)"
"LIST2007",0,0
"LIST2003",0,0
"LIST2013",0.1044,1
"LIST2018",0.0329,0.3948
"VMA3",0,0
"LIST2004",0,0
"LIST2001",0.1756,1
"LIST2011",3e-04,0.0036
"VMA6",0.0072,0.0864
"R1.169",0.0021,0.0252
"LIST2017",0,0
"Rufa19",0.045,0.54
